1AP_nano,1AS_nano,1BP_nano,1BS_nano,1CP_nano,1CS_nano,2AP_nano,2AS_nano,2BP_nano,2BS_nano,2CP_nano,2CS_nano,3AP_nano,3AS_nano,3BP_nano,3BS_nano,3CP_nano,3CS_nano,4AP_nano,4AS_nano,4BP_nano,4BS_nano,4CP_nano,4CS_nano,5AP_nano,5AS_nano,5BP_nano,5BS_nano,5CP_nano,5CS_nano,6AP_nano,6AS_nano,6BP_nano,6BS_nano,6CP_nano,6CS_nano,7AP_nano,7AS_nano,7BP_nano,7BS_nano,7CP_nano,7CS_nano,8AP_nano,8AS_nano,8BP_nano,8BS_nano,8CP_nano,8CS_nano,9AP_nano,9AS_nano,9BP_nano,9BS_nano,9CP_nano,9CS_nano
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,7,74,1,80,0,270,2,138,0,392,0,311,3,154,7,238,10,27,1,76,4,36,6,248,5,164,0,36,1,342,20,456,22,684,0,205,0,119,1,86,0,96,5,476,1,104,4,373,52,467,31,660,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,2,1,9,0,6,0,0,0,6,0,5,0,2,2,0,1,4,1,5,5062,13,1,11,6,0,1,5,5,0,19,8,2,2,0,1,2,3,1,2,2,7,3,1,8,11,4,15,7,5,6
28,0,21,2,35,0,75,1,24,3,28,0,63,0,27,0,42,0,3,1,37,1,17,4176,84,0,38,0,0,0,45,0,22,2,19,0,5,0,30,0,9,0,16,0,28,0,9,2,50,3,47,3,15,0
0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,2069,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0
5,0,3,0,1,0,8,0,0,1,4,0,14,0,3,0,5,0,3,0,4,0,0,204,12,0,5,0,1,0,3,0,4,0,5,0,0,0,3,2,1,0,1,0,4,0,0,1,14,0,8,0,3,0
3,0,0,0,1,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,3,0,0,131,7,0,3,0,1,0,5,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,4,0,3,0,2,0
